,Date,Polarity
0,2020-01-04,0.2166666666666666
2,2020-01-06,-0.1212121212121212
3,2020-01-08,0.0
5,2020-01-08,0.1363636363636363
6,2020-01-08,0.0909090909090909
9,2020-01-09,0.0
11,2020-01-09,0.0681818181818181
12,2020-01-09,-0.05
13,2020-01-09,0.0454545454545454
15,2020-01-09,-0.625
16,2020-01-09,0.1363636363636363
17,2020-01-09,0.0
18,2020-01-10,0.0
20,2020-01-10,0.0232323232323232
21,2020-01-10,-0.5
22,2020-01-11,0.1363636363636363
23,2020-01-11,-0.2333333333333333
25,2020-01-11,0.1363636363636363
27,2020-01-11,0.1931818181818181
29,2020-01-11,0.0
30,2020-01-11,-0.0318181818181818
31,2020-01-12,0.1363636363636363
32,2020-01-12,0.0
33,2020-01-12,0.0
34,2020-01-13,0.0
35,2020-01-13,0.1363636363636363
36,2020-01-13,0.2208333333333333
38,2020-01-17,0.0681818181818181
39,2020-01-17,0.1666666666666666
40,2020-01-17,0.0681818181818181
41,2020-01-17,0.2
42,2020-01-17,0.0
43,2020-01-17,0.0
44,2020-01-17,0.0
45,2020-01-17,0.0
46,2020-01-17,0.1363636363636363
47,2020-01-17,0.1363636363636363
48,2020-01-17,0.1363636363636363
50,2020-01-17,0.0
51,2020-01-17,0.0056818181818181
52,2020-01-17,0.2621212121212121
54,2020-01-17,0.0
55,2020-01-17,-0.5
58,2020-01-18,0.3787878787878787
59,2020-01-18,0.0
60,2020-01-18,-0.3
61,2020-01-18,0.0681818181818181
4080,2020-01-26,0.0
4081,2020-01-26,0.25
4083,2020-01-26,0.25
4084,2020-01-26,0.1666666666666666
4085,2020-01-26,0.5
4086,2020-01-26,-0.4
4087,2020-01-26,0.1363636363636363
4091,2020-01-26,0.1363636363636363
4094,2020-01-26,0.0
4095,2020-01-26,-0.0333333333333333
4096,2020-01-26,0.0
4097,2020-01-26,0.0
4098,2020-01-26,-0.25
4103,2020-01-26,1.0
4106,2020-01-26,0.2
4108,2020-01-26,0.0
4109,2020-01-26,0.0
4110,2020-01-26,0.1611111111111111
4112,2020-01-26,0.0
4113,2020-01-26,0.025
4114,2020-01-26,-0.5
4115,2020-01-26,0.0166666666666666
4118,2020-01-26,0.0
4120,2020-01-26,0.0
4121,2020-01-26,0.0
4122,2020-01-26,0.0
4124,2020-01-26,0.4125
4126,2020-01-26,0.4
4127,2020-01-26,0.4
4129,2020-01-26,0.0
4131,2020-01-26,0.0
4132,2020-01-26,0.5
4134,2020-01-26,0.1363636363636363
4135,2020-01-26,0.4
4136,2020-01-26,-0.0818181818181818
4137,2020-01-26,-0.4
4140,2020-01-26,-0.3125
4144,2020-01-26,0.5
4147,2020-01-26,0.0
4148,2020-01-26,0.4
4151,2020-01-26,0.0
4154,2020-01-26,0.25
4155,2020-01-26,0.0
4156,2020-01-26,0.0
4157,2020-01-26,0.0
4158,2020-01-26,0.0
4160,2020-01-26,-0.1
4161,2020-01-26,0.0
4162,2020-01-26,0.0
4164,2020-01-26,0.0
4170,2020-01-26,0.4
4172,2020-01-26,-0.4
4173,2020-01-26,0.0
4175,2020-01-26,-0.5
4177,2020-01-26,-0.2
4178,2020-01-26,0.0
4179,2020-01-26,-0.45
4182,2020-01-26,0.0
4183,2020-01-26,0.0
4186,2020-01-26,0.0
4187,2020-01-26,0.0
4188,2020-01-26,0.0
4190,2020-01-26,0.45
4194,2020-01-26,0.0
4196,2020-01-26,-0.0277777777777777
4197,2020-01-26,0.0
4198,2020-01-26,0.1571428571428571
4200,2020-01-26,0.0
4205,2020-01-26,0.0
4207,2020-01-26,0.78
4209,2020-01-26,0.2
4212,2020-01-26,0.0
4214,2020-01-26,-0.55
4215,2020-01-26,-0.4
4216,2020-01-26,0.1363636363636363
4217,2020-01-26,-0.2
4219,2020-01-26,0.4166666666666667
4220,2020-01-26,0.1363636363636363
4224,2020-01-26,0.0
4225,2020-01-26,0.1363636363636363
4230,2020-01-26,0.2333333333333333
4231,2020-01-26,0.0681818181818181
4233,2020-01-26,0.0
4234,2020-01-26,0.0
4236,2020-01-26,0.0
4237,2020-01-26,0.0
4238,2020-01-26,0.0
4239,2020-01-26,6.938893903907228e-18
4240,2020-01-26,0.0
4242,2020-01-26,0.2
4244,2020-01-26,0.1666666666666666
4245,2020-01-26,0.15
4246,2020-01-26,0.3999999999999999
4251,2020-01-26,0.0
4252,2020-01-26,0.0
4253,2020-01-26,0.0
4254,2020-01-26,-0.4
4255,2020-01-26,0.0
4256,2020-01-26,0.3
4257,2020-01-26,0.0
4258,2020-01-26,0.0
4260,2020-01-26,0.0
4261,2020-01-26,0.375
4262,2020-01-26,0.0
4263,2020-01-26,0.0
4264,2020-01-26,-0.75
4267,2020-01-26,0.25
4269,2020-01-26,0.1363636363636363
4272,2020-01-26,0.0
4274,2020-01-26,0.2666666666666666
4279,2020-01-26,0.0
4280,2020-01-26,0.0
4281,2020-01-26,0.0
4282,2020-01-26,-0.2
4284,2020-01-26,0.25
4287,2020-01-26,0.0
4289,2020-01-26,0.4
4290,2020-01-26,-0.1555555555555555
4292,2020-01-26,0.0
4293,2020-01-26,-0.0666666666666666
4295,2020-01-26,0.2
4296,2020-01-26,0.0
4297,2020-01-26,0.4
4298,2020-01-26,0.5
4299,2020-01-26,0.0
4300,2020-01-26,0.2
4301,2020-01-26,0.6
4303,2020-01-26,0.1704545454545454
4304,2020-01-26,0.4
4306,2020-01-26,0.05
4307,2020-01-26,-0.7
4309,2020-01-26,0.0
4310,2020-01-27,-0.25
4311,2020-01-27,0.0
4313,2020-01-27,-0.1
4314,2020-01-27,-0.125
4316,2020-01-27,0.0
4322,2020-01-27,0.4
4324,2020-01-27,0.0
4326,2020-01-27,-0.6
4327,2020-01-27,-0.78125
4331,2020-01-27,0.0
4335,2020-01-27,0.0
4336,2020-01-27,0.0
4338,2020-01-27,0.0
4340,2020-01-27,0.1666666666666666
4342,2020-01-27,-0.45
4350,2020-01-27,0.0
4351,2020-01-27,0.0
4353,2020-01-27,-0.5
4354,2020-01-27,0.2
4355,2020-01-27,0.0
4359,2020-01-27,0.0
4361,2020-01-27,0.5
4362,2020-01-27,0.0
